task,route,estimator,score_type,balance,fraction,metric,seed,comparison,left_mean,high_mean,gap,left_mask_n,high_mask_n,direction
sst2,direct,double,positive,global,0.3,accuracy,1337,low_minus_high,0.8188073394495413,0.4908256880733945,0.3279816513761468,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,accuracy,1337,random_minus_high,0.8080848623853211,0.4908256880733945,0.3172591743119266,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,accuracy,2027,low_minus_high,0.8119266055045872,0.4908256880733945,0.3211009174311927,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,accuracy,2027,random_minus_high,0.7944954128440367,0.4908256880733945,0.3036697247706422,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,ece,1234,low_minus_high,0.12404787970209424,0.009174317121505737,-0.1148735625805885,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,ece,1234,random_minus_high,0.04645816612309006,0.009174317121505737,-0.037283849001584324,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,ece,1337,low_minus_high,0.11498955159886481,0.009174317121505737,-0.10581523447735908,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,ece,1337,random_minus_high,0.03515227613918879,0.009174317121505737,-0.02597795901768305,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,ece,2027,low_minus_high,0.11295425859264663,0.009174317121505737,-0.10377994147114089,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,ece,2027,random_minus_high,0.04851886118676883,0.009174317121505737,-0.039344544065263096,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,nll,1234,low_minus_high,0.580840357126446,0.6931471824645996,0.11230682533815362,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,nll,1234,random_minus_high,0.4235696489521123,0.6931471824645996,0.2695775335124873,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,nll,1337,low_minus_high,0.5359887445191724,0.6931471824645996,0.15715843794542717,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,nll,1337,random_minus_high,0.4236395499985153,0.6931471824645996,0.26950763246608433,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,nll,2027,low_minus_high,0.5354593125163415,0.6931471824645996,0.15768786994825812,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.3,nll,2027,random_minus_high,0.4387210009841744,0.6931471824645996,0.25442618148042523,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,layer_balanced,0.0,accuracy,1234,low_minus_high,0.819954128440367,0.819954128440367,0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,layer_balanced,0.0,accuracy,1234,random_minus_high,0.8199541284403671,0.819954128440367,1.1102230246251565e-16,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,layer_balanced,0.0,accuracy,1337,low_minus_high,0.8073394495412844,0.8073394495412844,0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,layer_balanced,0.0,accuracy,1337,random_minus_high,0.8073394495412846,0.8073394495412844,1.1102230246251565e-16,20,1,positive_means_high_pruning_is_more_harmful
